Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Beta,no,1,mu,ja,male,fat,24.72429906542056,2.0,no,20.0,0.0,10.0,0.0,sport,fun
Beta,yes,0,mu,ja,female,fat,24.0,0.0,no,60.0,1.0,1.0,0.0,other,sport
Other,yes,unknown,mu,unknown,female,neither,22.0,0.0,no,32.0,100.0,19.0,0.0,food,socialize
Business,yes,0,mu,nee,female,fat,24.72429906542056,0.0,no,40.0,20.0,9.0,3.0,food,productivity
Business,yes,1,mu,ja,female,fat,25.0,0.0,no,30.0,10.0,5.0,0.0,weather,socialize
Beta,yes,0,mu,nee,male,fat,24.0,0.0,no,20.0,5.0,4.0,1.0,weather,other
Business,yes,0,mu,ja,male,slim,22.0,0.0,no,50.0,5.0,9.0,11.0,other,food
Beta,yes,0,mu,ja,male,neither,25.0,0.0,no,30.0,7.0,2.0,3.0,drinks,food
Beta,yes,1,mu,ja,male,I have no idea what you are talking about,24.72429906542056,4.0,no,50.0,4515169791.764706,2.1134547392206386e+35,1.0,other,food
Other,yes,unknown,unknown,nee,female,fat,23.0,2.0,no,35.0,5.0,56.0,0.0,weather,outside
Beta,yes,0,mu,nee,male,fat,24.0,0.0,no,20.0,5.0,9.0,11.0,food,other
Beta,no,0,mu,nee,male,neither,26.0,0.0,no,69.0,69.0,2.1134547392206386e+35,1.0,productivity,socialize
Business,yes,0,mu,ja,male,fat,24.72429906542056,1.0,unknown,80.0,4515169791.764706,57.0,2.0,other,productivity
Beta,yes,1,mu,ja,male,fat,23.0,0.0,no,37.0,100.0,2.1134547392206386e+35,0.0,other,other
Beta,yes,1,mu,nee,male,neither,25.0,0.0,no,40.0,5.0,3.0,11.0,sport,socialize
Business,yes,0,mu,nee,male,neither,23.0,0.0,no,30.0,4515169791.764706,1.0,1.0,productivity,socialize
Beta,yes,1,sigma,nee,male,slim,23.0,1.0,no,5.0,1.0,3.0,0.0,food,other
Beta,yes,0,sigma,nee,female,neither,23.0,1.0,no,60.0,10.0,7.0,1.0,weather,socialize
Beta,unknown,0,mu,ja,unknown,neither,27.0,3.6496350364963503,no,10.0,6.0,13.0,3.0,friends,sport
Beta,yes,0,mu,ja,female,neither,23.0,0.0,no,67.0,0.0,2.1134547392206386e+35,2.0,sport,socialize
Beta,yes,0,sigma,nee,female,slim,24.72429906542056,0.0,no,0.0,70.0,3.0,0.0,friends,sport
Beta,no,0,mu,nee,male,fat,25.0,1.0,unknown,14.0,8.0,9.0,1.0,food,socialize
Beta,yes,0,mu,ja,male,I have no idea what you are talking about,24.72429906542056,0.0,no,50.0,0.0,22.0,3.0,sleep,food
Business,yes,1,mu,ja,male,I have no idea what you are talking about,27.0,0.0,no,75.0,4515169791.764706,454.0,2.0,friends,food
Beta,yes,0,mu,nee,female,I have no idea what you are talking about,24.72429906542056,0.0,no,65.0,4515169791.764706,4.0,2.0,friends,food
Business,yes,0,mu,nee,female,fat,23.0,0.0,no,30.0,50.0,99.0,10.0,food,socialize
Beta,yes,0,mu,ja,male,fat,24.0,0.0,no,76.0,5.0,88.0,0.0,weather,other
Beta,yes,0,sigma,nee,male,unknown,45.0,2.0,yes,35.0,50.0,8.0,2.0,weather,food
Beta,yes,0,mu,ja,male,neither,24.72429906542056,2.0,no,95.0,1.0,726.0,3.0,food,productivity
Beta,unknown,0,mu,nee,male,unknown,24.0,0.0,no,65.0,4515169791.764706,0.0,4.0,productivity,playing
Business,yes,0,mu,ja,female,fat,26.0,0.0,no,40.0,30.0,7.0,1.0,friends,other
Beta,yes,1,mu,ja,male,fat,24.72429906542056,0.0,no,70.0,80.0,2.1134547392206386e+35,2.0,weather,food
Beta,no,0,mu,nee,female,fat,23.0,0.0,no,50.0,1.0,7.0,7.0,other,other
Beta,no,1,mu,ja,female,neither,24.72429906542056,0.0,no,40.0,70.0,6.0,1.0,weather,socialize
Beta,no,0,mu,nee,female,neither,24.72429906542056,1.0,no,47.0,4515169791.764706,3.0,11.0,other,other
Beta,no,0,mu,ja,male,fat,24.0,0.0,no,86.0,4515169791.764706,2.1134547392206386e+35,11.0,other,fun
